"Wavelength, µm","n","k"
0.365,1.459,3.547
0.366,1.481,3.568
0.367,1.504,3.589
0.368,1.527,3.61
0.369,1.551,3.631
0.37,1.575,3.653
0.371,1.6,3.674
0.372,1.626,3.695
0.373,1.652,3.716
0.374,1.679,3.738
0.375,1.706,3.759
0.376,1.734,3.78
0.377,1.763,3.801
0.378,1.792,3.822
0.379,1.822,3.843
0.38,1.853,3.864
0.381,1.885,3.884
0.382,1.917,3.905
0.383,1.95,3.925
0.384,1.984,3.945
0.385,2.019,3.965
0.386,2.054,3.984
0.387,2.091,4.003
0.388,2.128,4.022
0.389,2.166,4.041
0.39,2.205,4.059
0.391,2.245,4.076
0.392,2.286,4.094
0.393,2.328,4.11
0.394,2.37,4.126
0.395,2.414,4.142
0.396,2.458,4.157
0.397,2.504,4.171
0.398,2.55,4.184
0.399,2.598,4.196
0.4,2.646,4.208
0.401,2.695,4.219
0.402,2.745,4.229
0.403,2.796,4.237
0.404,2.848,4.245
0.405,2.901,4.251
0.406,2.955,4.256
0.407,3.009,4.26
0.408,3.064,4.263
0.409,3.12,4.264
0.41,3.177,4.263
0.411,3.234,4.261
0.412,3.292,4.257
0.413,3.35,4.252
0.414,3.409,4.245
0.415,3.468,4.236
0.416,3.527,4.225
0.417,3.587,4.212
0.418,3.647,4.198
0.419,3.706,4.181
0.42,3.766,4.162
0.421,3.825,4.142
0.422,3.884,4.119
0.423,3.942,4.094
0.424,4,4.067
0.425,4.057,4.039
0.426,4.114,4.008
0.427,4.169,3.975
0.428,4.224,3.94
0.429,4.277,3.903
0.43,4.329,3.865
0.431,4.38,3.825
0.432,4.429,3.783
0.433,4.477,3.739
0.434,4.523,3.694
0.435,4.567,3.648
0.436,4.61,3.6
0.437,4.651,3.551
0.438,4.689,3.501
0.439,4.726,3.45
0.44,4.761,3.398
0.441,4.794,3.345
0.442,4.824,3.292
0.443,4.853,3.238
0.444,4.88,3.184
0.445,4.904,3.13
0.446,4.927,3.075
0.447,4.948,3.02
0.448,4.966,2.966
0.449,4.983,2.911
0.45,4.998,2.857
0.451,5.011,2.803
0.452,5.022,2.749
0.453,5.032,2.696
0.454,5.04,2.644
0.455,5.046,2.592
0.456,5.051,2.54
0.457,5.054,2.489
0.458,5.056,2.44
0.459,5.057,2.39
0.46,5.056,2.342
0.461,5.054,2.295
0.462,5.051,2.248
0.463,5.047,2.202
0.464,5.042,2.157
0.465,5.036,2.113
0.466,5.029,2.07
0.467,5.021,2.028
0.468,5.012,1.987
0.469,5.003,1.947
0.47,4.993,1.908
0.471,4.982,1.87
0.472,4.971,1.832
0.473,4.959,1.796
0.474,4.947,1.76
0.475,4.934,1.726
0.476,4.921,1.692
0.477,4.907,1.659
0.478,4.894,1.627
0.479,4.879,1.596
0.48,4.865,1.566
0.481,4.85,1.536
0.482,4.835,1.507
0.483,4.82,1.479
0.484,4.804,1.452
0.485,4.789,1.426
0.486,4.773,1.4
0.487,4.757,1.375
0.488,4.741,1.351
0.489,4.725,1.327
0.49,4.709,1.304
0.491,4.693,1.282
0.492,4.677,1.26
0.493,4.66,1.239
0.494,4.644,1.219
0.495,4.628,1.199
0.496,4.612,1.18
0.497,4.595,1.161
0.498,4.579,1.143
0.499,4.563,1.125
0.5,4.547,1.108
0.501,4.53,1.091
0.502,4.514,1.075
0.503,4.498,1.059
0.504,4.482,1.044
0.505,4.466,1.029
0.506,4.451,1.015
0.507,4.435,1.001
0.508,4.419,0.9877
0.509,4.403,0.9747
0.51,4.388,0.9621
0.511,4.372,0.9498
0.512,4.357,0.9379
0.513,4.342,0.9265
0.514,4.326,0.9154
0.515,4.311,0.9046
0.516,4.296,0.8942
0.517,4.281,0.8841
0.518,4.266,0.8744
0.519,4.252,0.865
0.52,4.237,0.8559
0.521,4.222,0.8472
0.522,4.208,0.8387
0.523,4.194,0.8306
0.524,4.179,0.8228
0.525,4.165,0.8152
0.526,4.151,0.808
0.527,4.137,0.801
0.528,4.123,0.7943
0.529,4.109,0.7879
0.53,4.095,0.7818
0.531,4.082,0.7759
0.532,4.068,0.7703
0.533,4.055,0.765
0.534,4.041,0.7599
0.535,4.028,0.7551
0.536,4.015,0.7505
0.537,4.002,0.7462
0.538,3.989,0.7421
0.539,3.976,0.7383
0.54,3.963,0.7347
0.541,3.95,0.7314
0.542,3.938,0.7283
0.543,3.925,0.7255
0.544,3.912,0.7229
0.545,3.9,0.7206
0.546,3.888,0.7184
0.547,3.875,0.7166
0.548,3.863,0.715
0.549,3.851,0.7136
0.55,3.839,0.7125
0.551,3.827,0.7116
0.552,3.815,0.711
0.553,3.804,0.7106
0.554,3.792,0.7105
0.555,3.78,0.7106
0.556,3.769,0.711
0.557,3.758,0.7116
0.558,3.746,0.7125
0.559,3.735,0.7137
0.56,3.724,0.7151
0.561,3.713,0.7169
0.562,3.702,0.7189
0.563,3.691,0.7211
0.564,3.68,0.7237
0.565,3.67,0.7266
0.566,3.659,0.7298
0.567,3.649,0.7332
0.568,3.639,0.737
0.569,3.628,0.7411
0.57,3.618,0.7456
0.571,3.609,0.7503
0.572,3.599,0.7555
0.573,3.589,0.7609
0.574,3.58,0.7667
0.575,3.571,0.7729
0.576,3.562,0.7795
0.577,3.553,0.7865
0.578,3.544,0.7938
0.579,3.536,0.8016
0.58,3.528,0.8097
0.581,3.52,0.8183
0.582,3.512,0.8273
0.583,3.505,0.8368
0.584,3.498,0.8467
0.585,3.492,0.8571
0.586,3.485,0.8679
0.587,3.48,0.8792
0.588,3.474,0.891
0.589,3.469,0.9033
0.59,3.465,0.916
0.591,3.461,0.9293
0.592,3.458,0.943
0.593,3.456,0.9572
0.594,3.454,0.9719
0.595,3.453,0.987
0.596,3.453,1.003
0.597,3.453,1.019
0.598,3.455,1.035
0.599,3.457,1.052
0.6,3.461,1.069
0.601,3.466,1.086
0.602,3.472,1.104
0.603,3.479,1.122
0.604,3.487,1.14
0.605,3.497,1.158
0.606,3.508,1.175
0.607,3.521,1.193
0.608,3.536,1.21
0.609,3.552,1.227
0.61,3.569,1.243
0.611,3.588,1.259
0.612,3.609,1.273
0.613,3.632,1.287
0.614,3.656,1.299
0.615,3.681,1.31
0.616,3.708,1.319
0.617,3.736,1.326
0.618,3.766,1.331
0.619,3.796,1.334
0.62,3.827,1.335
0.621,3.859,1.333
0.622,3.891,1.328
0.623,3.923,1.321
0.624,3.954,1.312
0.625,3.985,1.299
0.626,4.015,1.285
0.627,4.044,1.267
0.628,4.071,1.247
0.629,4.097,1.226
0.63,4.12,1.202
0.631,4.142,1.176
0.632,4.161,1.15
0.633,4.177,1.122
0.634,4.191,1.093
0.635,4.203,1.064
0.636,4.212,1.034
0.637,4.218,1.005
0.638,4.222,0.9756
0.639,4.224,0.9471
0.64,4.223,0.9194
0.641,4.221,0.8926
0.642,4.216,0.867
0.643,4.21,0.8427
0.644,4.202,0.8198
0.645,4.193,0.7984
0.646,4.182,0.7786
0.647,4.171,0.7605
0.648,4.158,0.7442
0.649,4.145,0.7297
0.65,4.131,0.717
0.651,4.116,0.7063
0.652,4.101,0.6975
0.653,4.086,0.6908
0.654,4.07,0.6862
0.655,4.055,0.6838
0.656,4.04,0.6836
0.657,4.026,0.6858
0.658,4.012,0.6906
0.659,3.998,0.6979
0.66,3.986,0.708
0.661,3.976,0.721
0.662,3.967,0.7371
0.663,3.961,0.7564
0.664,3.959,0.7789
0.665,3.96,0.8047
0.666,3.967,0.8335
0.667,3.98,0.8649
0.668,4.001,0.8981
0.669,4.032,0.9318
0.67,4.073,0.9637
0.671,4.127,0.9909
0.672,4.192,1.01
0.673,4.268,1.015
0.674,4.352,1.003
0.675,4.437,0.9705
0.676,4.518,0.9159
0.677,4.585,0.8418
0.678,4.634,0.7538
0.679,4.662,0.659
0.68,4.669,0.5646
0.681,4.659,0.4762
0.682,4.635,0.397
0.683,4.603,0.3286
0.684,4.565,0.2709
0.685,4.524,0.2231
0.686,4.482,0.1838
0.687,4.441,0.1517
0.688,4.402,0.1257
0.689,4.364,0.1047
0.69,4.328,0.08764
0.691,4.295,0.07387
0.692,4.263,0.06276
0.693,4.234,0.05379
0.694,4.206,0.04657
0.695,4.18,0.04077
0.696,4.156,0.03614
0.697,4.133,0.03247
0.698,4.112,0.02958
0.699,4.092,0.02735
0.7,4.073,0.02565
0.701,4.055,0.02437
0.702,4.039,0.0232
0.703,4.023,0.02209
0.704,4.009,0.02103
0.705,3.995,0.02002
0.706,3.981,0.01907
0.707,3.968,0.01816
0.708,3.956,0.01729
0.709,3.944,0.01648
0.71,3.932,0.0157
0.711,3.921,0.01497
0.712,3.91,0.01427
0.713,3.899,0.01362
0.714,3.889,0.013
0.715,3.879,0.01242
0.716,3.87,0.01187
0.717,3.86,0.01135
0.718,3.851,0.01087
0.719,3.842,0.01042
0.72,3.834,0.009996
0.721,3.825,0.009602
0.722,3.817,0.009236
0.723,3.809,0.008896
0.724,3.801,0.008582
0.725,3.793,0.008292
0.726,3.786,0.00802
0.727,3.778,0.007753
0.728,3.771,0.00749
0.729,3.764,0.007233
0.73,3.757,0.00698
0.731,3.75,0.006733
0.732,3.744,0.00649
0.733,3.737,0.006253
0.734,3.731,0.00602
0.735,3.725,0.005792
0.736,3.718,0.005569
0.737,3.712,0.005351
0.738,3.707,0.005137
0.739,3.701,0.004929
0.74,3.695,0.004725
0.741,3.689,0.004526
0.742,3.684,0.004332
0.743,3.678,0.004142
0.744,3.673,0.003957
0.745,3.668,0.003777
0.746,3.662,0.003601
0.747,3.657,0.00343
0.748,3.652,0.003263
0.749,3.647,0.003101
0.75,3.642,0.002944
0.751,3.637,0.002791
0.752,3.632,0.002642
0.753,3.628,0.002498
0.754,3.623,0.002358
0.755,3.618,0.002222
0.756,3.614,0.002091
0.757,3.609,0.001964
0.758,3.605,0.001842
0.759,3.601,0.001723
0.76,3.596,0.001609
0.761,3.592,0.001499
0.762,3.588,0.001394
0.763,3.584,0.001292
0.764,3.579,0.001194
0.765,3.575,0.001101
0.766,3.571,0.001011
0.767,3.567,0.0009257
