"Wavelength, µm","n","k"
0.397,4.5714,2.6864
0.3972,4.1931,2.3927
0.3974,4.0444,2.3277
0.3976,3.9671,2.2975
0.3978,3.8503,2.2283
0.3981,3.788,2.2159
0.3983,3.7528,2.2102
0.3985,3.7472,2.2136
0.3987,3.7143,2.2102
0.3989,3.695,2.2091
0.3991,3.6848,2.2102
0.3994,3.6859,2.2136
0.3996,3.7007,2.2215
0.3998,3.6995,2.2204
0.4,3.7007,2.2147
0.4002,3.6995,2.2068
0.4004,3.7007,2.2034
0.4007,3.7018,2.1955
0.4009,3.6939,2.1875
0.4011,3.6859,2.1796
0.4013,3.6893,2.1785
0.4015,3.6791,2.1728
0.4018,3.6735,2.1648
0.402,3.6655,2.1569
0.4022,3.6531,2.1512
0.4024,3.6315,2.1456
0.4026,3.619,2.1376
0.4028,3.593,2.132
0.4031,3.585,2.1331
0.4033,3.593,2.1388
0.4035,3.6032,2.1444
0.4037,3.6066,2.1456
0.4039,3.6168,2.149
0.4041,3.6179,2.1546
0.4044,3.6327,2.158
0.4046,3.6406,2.1569
0.4048,3.6395,2.158
0.405,3.6315,2.1546
0.4052,3.6304,2.1512
0.4055,3.6315,2.1478
0.4057,3.6349,2.1376
0.4059,3.6293,2.1297
0.4061,3.6168,2.1218
0.4063,3.593,2.107
0.4065,3.5646,2.0923
0.4068,3.534,2.0775
0.407,3.5034,2.0605
0.4072,3.4751,2.0458
0.4074,3.4444,2.0311
0.4076,3.4161,2.0163
0.4078,3.3991,2.0016
0.4081,3.3889,1.9868
0.4083,3.3855,1.9789
0.4085,3.3844,1.9732
0.4087,3.3832,1.9676
0.4089,3.3844,1.9619
0.4092,3.3855,1.954
0.4094,3.3889,1.9483
0.4096,3.3968,1.9426
0.4098,3.4116,1.9324
0.41,3.424,1.9222
0.4102,3.4388,1.9143
0.4105,3.4558,1.9041
0.4107,3.4728,1.8961
0.4109,3.4943,1.8859
0.4111,3.5045,1.8803
0.4113,3.5079,1.8723
0.4116,3.5091,1.8621
0.4118,3.4989,1.8519
0.412,3.5,1.8417
0.4122,3.5057,1.8315
